駅名(漢字)	読み	頭文字	母音	県	会社	路線	廃駅	文字数
青葉山	あおばやま	あ	AOAAA	宮城県	仙台市営地下鉄	東西線		3
青原	あおはら	あ	AOAA	島根県	JR西日本	山口線		2
青部	あおべ	あ	AOE	静岡県	大井川鐵道	本線		2
青堀	あおほり	あ	AOOI	千葉県	JR東日本	内房線		2
青海(東京)	あおみ	あ	AOI	東京都	ゆりかもめ			2
青物横丁	あおものよこちょう	あ	AOOOOOOO	東京都	京急	本線		4
青森	あおもり	あ	AOOI	青森県	青い森鉄道			2
青谷	あおや	あ	AOA	鳥取県	JR西日本	山陰本線		2
青柳	あおやぎ	あ	AOAI	長野県	JR東日本	中央本線		2
青柳町	あおやぎちょう	あ	AOAIOO	北海道	函館市電	宝来・谷地頭線		3
青山(新潟)	あおやま	あ	AOAA	新潟県	JR東日本	越後線		2
青山(愛知)	あおやま	あ	AOAA	愛知県	名鉄	河和線		2
青山(岩手)	あおやま	あ	AOAA	岩手県	IGRいわて銀河鉄道			2
青山一丁目	あおやまいっちょうめ	あ	AOAAIOOE	東京都	東京メトロ	銀座線		5
青山町	あおやまちょう	あ	AOAAOO	三重県	近鉄	大阪線		3
赤	あか	あ	AA	福岡県	平成筑豊鉄道	田川線		1
赤井	あかい	あ	AAI	福島県	JR東日本	磐越東線		2
赤井川	あかいがわ	あ	AAIAA	北海道	JR北海道	函館本線		3
赤池(愛知)	あかいけ	あ	AAIE	愛知県	名古屋市営地下鉄	鶴舞線		2
赤池(岐阜)	あかいけ	あ	AAIE	岐阜県	長良川鉄道			2
赤池(福岡)	あかいけ	あ	AAIE	福岡県	平成筑豊鉄道	伊田線		2
赤岩	あかいわ	あ	AAIA	福島県	JR東日本	奥羽本線		2
赤岩口	あかいわぐち	あ	AAIAUI	愛知県	豊橋鉄道	東田本線		3
あかおか	あかおか	あ	AAOA	高知県	土佐くろしお鉄道	阿佐線		4
赤岡	あかおか	あ	AAOA	高知県	土佐電気鉄道	安芸線	D	2
赤川	あかがわ	あ	AAAA	青森県	JR東日本	大湊線		2
赤木[長野]	あかぎ	あ	AAI	長野県	JR東海	飯田線		2
赤城[群馬]	あかぎ	あ	AAI	群馬県	東武	桐生線		2
赤倉温泉	あかくらおんせん	あ	AAUAONEN	山形県	JR東日本	陸羽東線		4
赤坂(東京)	あかさか	あ	AAAA	東京都	東京メトロ	千代田線		2
赤坂(群馬)	あかさか	あ	AAAA	群馬県	上毛電鉄			2
赤坂(山梨)	あかさか	あ	AAAA	山梨県	富士急行			2
赤坂(福岡)	あかさか	あ	AAAA	福岡県	福岡市営地下鉄	空港線		2
赤坂上	あかさかうえ	あ	AAAAUE	長野県	上田電鉄			3
赤坂田	あかさかた	あ	AAAAA	岩手県	JR東日本	花輪線		3
赤坂見附	あかさかみつけ	あ	AAAAIUE	東京都	東京メトロ	銀座線		4
赤碕[鳥取]	あかさき	あ	AAAI	鳥取県	JR西日本	山陰本線		2
赤崎(貨)	あかさき	あ	AAAI	岩手県	岩手開発鉄道	赤崎線		2
赤迫	あかさこ	あ	AAAO	長崎県	長崎電軌	住吉支線		2
明石	あかし	あ	AAI	兵庫県	JR西日本	山陽本線		2
明科	あかしな	あ	AAIA	長野県	JR東日本	篠ノ井線		2
赤瀬	あかせ	あ	AAE	熊本県	JR九州	三角線		2
県	あがた	あ	AAA	栃木県	東武	伊勢崎線		1
あかぢ	あかぢ	あ	AAI	福岡県	平成筑豊鉄道	伊田線		3
赤塚	あかつか	あ	AAUA	茨城県	JR東日本	常磐線		2
明塚[島根]	あかつか	あ	AAUA	島根県	JR西日本	三江線	D	2
暁学園前	あかつきがくえんまえ	あ	AAUIAUENAE	三重県	三岐鉄道	三岐線		4
赤土小学校前	あかどしょうがっこうまえ	あ	AAOOOAOOAE	東京都	日暮里・舎人ライナー			6
赤野	あかの	あ	AAO	高知県	土佐くろしお鉄道	阿佐線		2
吾野	あがの	あ	AAO	埼玉県	西武	池袋線		2
赤羽	あかばね	あ	AAAE	東京都	JR東日本	東北本線		2
赤羽岩淵	あかばねいわぶち	あ	AAAEIAUI	東京都	東京メトロ	南北線		4
赤羽橋	あかばねばし	あ	AAAEAI	東京都	都営地下鉄	大江戸線		3
赤平	あかびら	あ	AAIA	北海道	JR北海道	根室本線		2
赤渕	あかぶち	あ	AAUI	岩手県	JR東日本	田沢湖線		2
英賀保	あがほ	あ	AAO	兵庫県	JR西日本	山陽本線		3
赤星	あかぼし	あ	AAOI	愛媛県	JR四国	予讃線		2
赤堀	あかほり	あ	AAOI	三重県	四日市あすなろう鉄道			2
赤間	あかま	あ	AAA	福岡県	JR九州	鹿児島本線		2
赤水	あかみず	あ	AAIU	熊本県	JR九州	豊肥本線		2
赤嶺	あかみね	あ	AAIE	沖縄県	ゆいレール			2
赤目口	あかめぐち	あ	AAEUI	三重県	近鉄	大阪線		3
赤湯	あかゆ	あ	AAU	山形県	JR東日本	奥羽本線		2
上道(鳥取)	あがりみち	あ	AAIII	鳥取県	JR西日本	境線		2
阿川	あがわ	あ	AAA	山口県	JR西日本	山陰本線		2
安芸	あき	あ	AI	高知県	土佐くろしお鉄道	阿佐線		2
安岐[大分]	あき	あ	AI	大分県	大分交通	国東線	D	2
阿木	あぎ	あ	AI	岐阜県	明知鉄道			2
安芸阿賀	あきあが	あ	AIAA	広島県	JR西日本	呉線		4
安芸飯室	あきいむろ	あ	AIIUO	広島県	JR西日本	可部線	D	4
秋保温泉	あきうおんせん	あ	AIUONEN	宮城県	秋保電気鉄道		D	4
あき亀山	あきかめやま	あ	AIAEAA	広島県	JR西日本	可部線		4
安芸亀山	あきかめやま	あ	AIAEAA	広島県	JR西日本	可部線	D	4
秋川	あきがわ	あ	AIAA	東京都	JR東日本	五日市線		2
安芸川尻	あきかわじり	あ	AIAAII	広島県	JR西日本	呉線		4
安芸幸崎	あきさいざき	あ	AIAIAI	広島県	JR西日本	呉線		4
昭島	あきしま	あ	AIIA	東京都	JR東日本	青梅線		2
秋田	あきた	あ	AIA	秋田県	JR東日本	奥羽本線		2
秋田港(貨)	あきたこう	あ	AIAOO	秋田県	JR貨物	秋田港線		3
あきた白神	あきたしらかみ	あ	AIAIAAI	秋田県	JR東日本	五能線		5
安芸津[広島]	あきつ	あ	AIU	広島県	JR西日本	呉線		3
秋津[東京]	あきつ	あ	AIU	東京都	西武	池袋線		2
安芸長束	あきながつか	あ	AIAAUA	広島県	JR西日本	可部線		4
安芸中野	あきなかの	あ	AIAAO	広島県	JR西日本	山陽本線		4
安芸長浜	あきながはま	あ	AIAAAA	広島県	JR西日本	呉線		4
秋葉原	あきはばら	あ	AIAAA	東京都	JR東日本	京浜東北線		3
安芸矢口	あきやぐち	あ	AIAUI	広島県	JR西日本	芸備線		4
秋山	あきやま	あ	AIAA	千葉県	北総鉄道			2
鮎喰	あくい	あ	AUI	徳島県	JR四国	徳島線		2
阿久比	あぐい	あ	AUI	愛知県	名鉄	河和線		3
阿久根	あくね	あ	AUE	鹿児島県	肥薩おれんじ鉄道			3
阿倉川	あくらがわ	あ	AUAAA	三重県	近鉄	名古屋線		3
上ゲ	あげ	あ	AE	愛知県	名鉄	河和線		2
上尾	あげお	あ	AEO	埼玉県	JR東日本	高崎線		2
阿下喜	あげき	あ	AEI	三重県	三岐鉄道	北勢線		3
明智(可児市)	あけち	あ	AEI	岐阜県	名鉄	広見線		2
明智(恵那市)	あけち	あ	AEI	岐阜県	明知鉄道			2
明戸	あけと	あ	AEO	埼玉県	秩父鉄道			2
明野	あけの	あ	AEO	三重県	近鉄	山田線		2
曙町	あけぼのちょう	あ	AEOOOO	高知県	とさでん	伊野線		2
曙町東町	あけぼのちょうひがしまち	あ	AEOOOOIAIAI	高知県	とさでん	伊野線		4
曙橋	あけぼのばし	あ	AEOOAI	東京都	都営地下鉄	新宿線		2
上松	あげまつ	あ	AEAU	長野県	JR東海	中央本線		2
安子ヶ島	あこがしま	あ	AOAIA	福島県	JR東日本	磐越西線		4
阿漕	あこぎ	あ	AOI	三重県	JR東海	紀勢本線		2
厚狭	あさ	あ	AA	山口県	JR西日本	山陽本線		2
浅井	あさい	あ	AAI	熊本県	熊延鉄道		D	2
浅香[大阪]	あさか	あ	AAA	大阪府	JR西日本	阪和線		2
朝霞[埼玉]	あさか	あ	AAA	埼玉県	東武	東上線		2
朝霞台	あさかだい	あ	AAAAI	埼玉県	東武	東上線		3
安積永盛	あさかながもり	あ	AAAAAOI	福島県	JR東日本	東北本線		4
阿座上	あざかみ	あ	AAAI	山口県	長門鉄道		D	3
阿佐ヶ谷	あさがや	あ	AAAA	東京都	JR東日本	中央本線		4
浅香山	あさかやま	あ	AAAAA	大阪府	南海	高野線		3
浅川	あさかわ	あ	AAAA	徳島県	JR四国	牟岐線		2
浅岸	あさぎし	あ	AAII	岩手県	JR東日本	山田線	D	2
朝霧[兵庫]	あさぎり	あ	AAII	兵庫県	JR西日本	山陽本線		2
あさぎり[熊本]	あさぎり	あ	AAII	熊本県	くま川鉄道			4
浅草(東武・地下鉄)	あさくさ	あ	AAUA	東京都	東武	伊勢崎線		2
浅草(つくばエクスプレス)	あさくさ	あ	AAUA	東京都	つくばエクスプレス			2
浅草橋	あさくさばし	あ	AAUAAI	東京都	JR東日本	総武本線		3
朝倉(JR四国)	あさくら	あ	AAUA	高知県	JR四国	土讃線		2
朝倉(愛知)	あさくら	あ	AAUA	愛知県	名鉄	常滑線		2
朝倉(とさでん)	あさくら	あ	AAUA	高知県	とさでん	伊野線		2
朝倉駅前	あさくらえきまえ	あ	AAUAEIAE	高知県	とさでん	伊野線		4
朝倉街道	あさくらかいどう	あ	AAUAAIOO	福岡県	西鉄	天神大牟田線		4
朝倉神社前	あさくらじんじゃまえ	あ	AAUAINAAE	高知県	とさでん	伊野線		5
朝地	あさじ	あ	AAI	大分県	JR九州	豊肥本線		2
朝潮橋	あさしおばし	あ	AAIOAI	大阪府	大阪市高速電気軌道	中央線		3
浅茅野	あさじの	あ	AAIO	北海道	国鉄	天北線	D	3
安里	あさと	あ	AAO	沖縄県	ゆいレール			2
安里[沖縄県鉄道]	あさと	あ	AAO	沖縄県	沖縄県鉄道	嘉手納線	D	2
浅内	あさない	あ	AAAI	岩手県	JR東日本	岩泉線	D	2
字中村	あざなかむら	あ	AAAAUA	山口県	船木鉄道		D	3
朝菜町	あさなまち	あ	AAAAI	富山県	富山地鉄	上滝線		3
浅海	あさなみ	あ	AAAI	愛媛県	JR四国	予讃線		2
浅野	あさの	あ	AAO	神奈川県	JR東日本	鶴見線		2
旭(千葉)	あさひ	あ	AAI	千葉県	JR東日本	総武本線		1
朝日[三重]	あさひ	あ	AAI	三重県	JR東海	関西本線		2
旭(高知)	あさひ	あ	AAI	高知県	JR四国	土讃線		1
朝陽[長野]	あさひ	あ	AAI	長野県	長野電鉄			2
朝日(北海道)	あさひ	あ	AAI	北海道	国鉄	万字線	D	2
旭(北海道)	あさひ	あ	AAI	北海道	国鉄	名寄本線	D	1
旭駅前通	あさひえきまえどおり	あ	AAIEIAEOOI	高知県	とさでん	伊野線		4
朝日大塚	あさひおおつか	あ	AAIOOUA	滋賀県	近江鉄道	本線		4
旭岡	あさひおか	あ	AAIOA	北海道	国鉄	富内線	D	2
旭ヶ丘(宮崎)	あさひがおか	あ	AAIAOA	宮崎県	JR九州	日豊本線		3
旭ヶ丘(宮城)	あさひがおか	あ	AAIAOA	宮城県	仙台市営地下鉄	南北線		3
旭ヶ丘(富山)	あさひがおか	あ	AAIAOA	富山県	万葉線			3
朝日ヶ丘[島根]	あさひがおか	あ	AAIAOA	島根県	一畑電鉄	北松江線		4
旭ヶ丘(北海道)	あさひがおか	あ	AAIAOA	北海道	国鉄	名寄本線	D	3
旭川	あさひかわ	あ	AAIAA	北海道	JR北海道	函館本線		2
旭川四条	あさひかわよじょう	あ	AAIAAOOO	北海道	JR北海道	宗谷本線		4
朝日通	あさひどおり	あ	AAIOOI	鹿児島県	鹿児島市電	第一期線		3
朝日野	あさひの	あ	AAIO	滋賀県	近江鉄道	本線		3
旭橋	あさひばし	あ	AAIAI	沖縄県	ゆいレール			2
旭浜	あさひはま	あ	AAIAA	北海道	JR北海道	室蘭本線	D	2
旭前	あさひまえ	あ	AAIAE	愛知県	名鉄	瀬戸線		2
旭町一丁目	あさひまちいっちょうめ	あ	AAIAIIOOE	高知県	とさでん	伊野線		5
旭町三丁目	あさひまちさんちょうめ	あ	AAIAIANOOE	高知県	とさでん	伊野線		5
麻生	あさぶ	あ	AAU	北海道	札幌市営地下鉄	東西線		2
麻布十番	あざぶじゅうばん	あ	AAUUUAN	東京都	東京メトロ	南北線		4
浅部	あさべ	あ	AAE	宮城県	仙北鉄道	登米線	D	2
朝熊	あさま	あ	AAA	三重県	近鉄	鳥羽線		2
浅舞	あさまい	あ	AAAI	秋田県	羽後交通	横荘線	D	2
阿左美	あざみ	あ	AAI	群馬県	東武	桐生線		3
浅水(宮城)	あさみず	あ	AAIU	宮城県	仙北鉄道	登米線	D	2
あざみ野	あざみの	あ	AAIO	神奈川県	東急	田園都市線		4
浅海井	あざむい	あ	AAUI	大分県	JR九州	日豊本線		3
浅虫温泉	あさむしおんせん	あ	AAUIONEN	青森県	青い森鉄道			4
朝山	あさやま	あ	AAAA	島根県	一畑電鉄	立久恵線	D	2
朝里[北海道]	あさり	あ	AAI	北海道	JR北海道	函館本線		2
浅利[島根]	あさり	あ	AAI	島根県	JR西日本	山陰本線		2
足尾	あしお	あ	AIO	栃木県	わたらせ渓谷鉄道			2
味岡	あじおか	あ	AIOA	愛知県	名鉄	小牧線		2
阿字ヶ浦	あじがうら	あ	AIAUA	茨城県	ひたちなか海浜鉄道			4
足利	あしかが	あ	AIAA	栃木県	JR東日本	両毛線		2
足利市	あしかがし	あ	AIAAI	栃木県	東武	伊勢崎線		3
あしかがフラワーパーク	あしかがふらわーぱーく	あ	AIAAUAAAAAU	栃木県	JR東日本	両毛線		11
芦ヶ久保	あしがくぼ	あ	AIAUO	埼玉県	西武	秩父線		4
鰺ヶ沢	あじがさわ	あ	AIAAA	青森県	JR東日本	五能線		3
海鹿島	あしかじま	あ	AIAIA	千葉県	銚子電鉄			3
足ヶ瀬	あしがせ	あ	AIAE	岩手県	JR東日本	釜石線		3
足柄(静岡)	あしがら	あ	AIAA	静岡県	JR東海	御殿場線		2
足柄(神奈川)	あしがら	あ	AIAA	神奈川県	小田急	小田原線		2
芦川(北海道)	あしかわ	あ	AIAA	北海道	JR北海道	宗谷本線	D	2
芦川	あしがわ	あ	AIAA	山梨県	JR東海	身延線		2
安治川口	あじがわぐち	あ	AUAAUI	大阪府	JR西日本	桜島線		4
安食	あじき	あ	AII	千葉県	JR東日本	成田線		2
味坂	あじさか	あ	AIAA	福岡県	西鉄	天神大牟田線		2
芦沢	あしさわ	あ	AIAA	山形県	JR東日本	奥羽本線		2
阿知須	あじす	あ	AIU	山口県	JR西日本	宇部線		3
足滝	あしだき	あ	AIAI	新潟県	JR東日本	飯山線		2
足立	あしだち	あ	AIAI	岡山県	JR西日本	伯備線		2
阿品	あじな	あ	AIA	広島県	JR西日本	山陽本線		2
阿品東	あじなひがし	あ	AIAIAI	広島県	広島電鉄	宮島線		3
芦野	あしの	あ	AIO	北海道	国鉄	天北線	D	2
芦野公園	あしのこうえん	あ	AIOOOEN	青森県	津軽鉄道			4
芦ノ牧温泉	あしのまきおんせん	あ	AIOAIONEN	福島県	会津鉄道			5
芦ノ牧温泉南	あしのまきおんせんみなみ	あ	AIOAIONENIAI	福島県	会津鉄道			6
芦原	あしはら	あ	AIAA	愛知県	豊橋鉄道	渥美線		2
芦原町	あしはらちょう	あ	AIAAOO	大阪府	南海	汐見橋線		3
芦原橋	あしはらばし	あ	AIAAAI	大阪府	JR西日本	大阪環状線		3
芦別	あしべつ	あ	AIEU	北海道	JR北海道	根室本線		2
味鋺	あじま	あ	AIA	愛知県	名鉄	小牧線		2
足守	あしもり	あ	AIOI	岡山県	JR西日本	吉備線		2
芦屋(JR西日本)	あしや	あ	AIA	兵庫県	JR西日本	東海道本線		2
芦屋(阪神)	あしや	あ	AIA	兵庫県	阪神	本線		2
芦屋川	あしやがわ	あ	AIAAA	兵庫県	阪急	神戸本線		3
味美(名鉄)	あじよし	あ	AIOI	愛知県	名鉄	小牧線		2
味美(東海交通事業)	あじよし	あ	AIOI	愛知県	東海交通事業	城北線		2
足寄	あしょろ	あ	AOO	北海道	北海道ちほく高原鉄道		D	2
網代	あじろ	あ	AIO	静岡県	JR東日本	伊東線		2
飛鳥	あすか	あ	AUA	奈良県	近鉄	吉野線		2
飛鳥山	あすかやま	あ	AUAAA	東京都	都電	荒川線		3
梓橋	あずさばし	あ	AUAAI	長野県	JR東日本	大糸線		2
あすなろう四日市	あすなろうよっかいち	あ	AUAOOOAII	三重県	四日市あすなろう鉄道			8
東田	あずまだ	あ	AUAA	愛知県	豊橋鉄道	東田本線		2
東田坂上	あずまださかうえ	あ	AUAAAAUE	愛知県	豊橋鉄道	東田本線		4
安曇追分	あずみおいわけ	あ	AUIOIAE	長野県	JR東日本	大糸線		4
安曇沓掛	あずみくつかけ	あ	AUIUUAE	長野県	JR東日本	大糸線		4
アスモ前	あすもまえ	あ	AUOAE	静岡県	天竜浜名湖鉄道			4
足羽	あすわ	あ	AUA	福井県	JR西日本	越美北線		2
安栖里	あせり	あ	AEI	京都府	JR西日本	山陰本線		3
阿曽[三重]	あそ	あ	AO	三重県	JR東海	紀勢本線		2
阿蘇[熊本]	あそ	あ	AO	熊本県	JR九州	豊肥本線		2
吾桑	あそう	あ	AOO	高知県	JR四国	土讃線		2
浅水	あそうず	あ	AOOU	福井県	福井鉄道	福武線		2
薊野	あぞうの	あ	AOOO	高知県	JR四国	土讃線		2
阿蘇下田城ふれあい温泉	あそしもだじょうふれあいおんせん	あ	AOIOAOOUEAIONEN	熊本県	南阿蘇鉄道			11
阿蘇白川	あそしらかわ	あ	AOIAAA	熊本県	南阿蘇鉄道			4
麻生釣	あそづる	あ	AOUU	大分県	国鉄	宮原線	D	3
阿曽原谷	あぞばらだに	あ	AOAAAI	富山県	関西電力	黒部専用鉄道		4
阿多	あた	あ	AA	鹿児島県	鹿児島交通	南薩線	D	2
愛宕(宮城)	あたご	あ	AAO	宮城県	JR東日本	東北本線		2
愛宕(千葉)	あたご	あ	AAO	千葉県	東武	野田線		2
愛宕橋	あたごばし	あ	AAOAI	宮城県	仙台市営地下鉄	南北線		3
新鹿	あたしか	あ	AAIA	三重県	JR東海	紀勢本線		2
安達	あだち	あ	AAI	福島県	JR東日本	東北本線		2
足立小台	あだちおだい	あ	AAIOAI	東京都	日暮里・舎人ライナー			4
熱海	あたみ	あ	AAI	静岡県	JR東日本	東海道本線		2
阿田和	あたわ	あ	AAA	三重県	JR東海	紀勢本線		3
厚保	あつ	あ	AU	山口県	JR西日本	美祢線		2
阿津[岡山]	あつ	あ	AU	岡山県	下津井電鉄		D	2
厚賀	あつが	あ	AUA	北海道	JR北海道	日高本線		2
厚木	あつぎ	あ	AUI	神奈川県	JR東日本	相模線		2
厚岸	あっけし	あ	AEI	北海道	JR北海道	根室本線		2
熱塩	あつしお	あ	AUIO	福島県	国鉄	日中線	D	2
朝来	あっそ	あ	AO	和歌山県	JR西日本	紀勢本線		2
熱田	あつた	あ	AUA	愛知県	JR東海	東海道本線		2
安土	あづち	あ	AUI	滋賀県	JR西日本	東海道本線		2
厚床	あっとこ	あ	AOO	北海道	JR北海道	根室本線		2
厚内	あつない	あ	AUAI	北海道	JR北海道	根室本線		2
安比高原	あっぴこうげん	あ	AIOOEN	岩手県	JR東日本	花輪線		4
厚別	あつべつ	あ	AUEU	北海道	JR北海道	函館本線		2
吾妻	あづま	あ	AUA	長崎県	島原鉄道			2
あつみ温泉	あつみおんせん	あ	AUIONEN	山形県	JR東日本	羽越本線		5
左沢	あてらざわ	あ	AEAAA	山形県	JR東日本	左沢線		2
安登	あと	あ	AO	広島県	JR西日本	呉線		2
安曇川	あどがわ	あ	AOAA	滋賀県	JR西日本	湖西線		3
穴川(三重)	あながわ	あ	AAAA	三重県	近鉄	志摩線		2
穴川(千葉)	あながわ	あ	AAAA	千葉県	千葉都市モノレール			2
穴内	あなない	あ	AAAI	高知県	土佐くろしお鉄道	阿佐線		2
穴吹	あなぶき	あ	AAUI	徳島県	JR四国	徳島線		2
穴部	あなべ	あ	AAE	神奈川県	伊豆箱根鉄道	大雄山線		2
穴水	あなみず	あ	AAIU	石川県	のと鉄道			2
穴守稲荷	あなもりいなり	あ	AAOIIAI	東京都	京急	空港線		4
穴山	あなやま	あ	AAAA	山梨県	JR東日本	中央本線		2
阿南	あなん	あ	AAN	徳島県	JR四国	牟岐線		2
阿仁合	あにあい	あ	AIAI	秋田県	秋田内陸縦貫鉄道			3
兄畑	あにはた	あ	AIAA	岩手県	JR東日本	花輪線		2
阿仁前田	あにまえだ	あ	AIAEA	秋田県	秋田内陸縦貫鉄道			4
